s,x,px
0.0,-8.5e-11,-4.4e-07
8.000000000000001e-07,-8.422269130089773e-11,2.5656640675866695e-06
1.6e-06,-8.130864189395581e-11,5.405575278230529e-06
2.0000000000000003e-06,-7.643858106396587e-11,7.923824838923189e-06
2.8000000000000003e-06,-6.988328486214217e-11,1.0031054527322371e-05
3.6000000000000007e-06,-6.195328412154264e-11,1.1705476238868173e-05
4.4e-06,-5.295554512070085e-11,1.2974806243017452e-05
5.200000000000001e-06,-4.316611447942762e-11,1.3892543198955793e-05
6e-06,-3.2818956324775e-11,1.4518205613916339e-05
6.4000000000000006e-06,-2.2106584618140986e-11,1.4904749151744384e-05
7.200000000000001e-06,-1.1187457112907084e-11,1.5092214069934898e-05
8.000000000000001e-06,-1.9641454628597035e-13,1.5105317484896275e-05
8.8e-06,1.074393538229961e-11,1.4952992719537513e-05
9.6e-06,2.1511821065972387e-11,1.4628687984627822e-05
1e-05,3.1975271511812336e-11,1.4111066823378768e-05
1.08e-05,4.198183399584692e-11,1.3365503694303433e-05
1.16e-05,5.134997647345797e-11,1.2347452768971626e-05
1.24e-05,5.986409308257061e-11,1.1009270502266405e-05
1.32e-05,6.727619607748618e-11,9.311954122954899e-06
1.4e-05,7.331800066456947e-11,7.241746567733369e-06
1.44e-05,7.772593232228872e-11,4.828112874708132e-06
1.52e-05,8.027744591731111e-11,2.1552862277210826e-06
1.6e-05,8.083052155639895e-11,-6.418712592291564e-07
1.68e-05,7.935300422305275e-11,-3.40141957653331e-06
1.76e-05,7.592968785119545e-11,-5.969799103247528e-06
1.8e-05,7.074398493815628e-11,-8.233500817682234e-06
1.88e-05,6.404217218949503e-11,-1.0133944027388284e-05
1.96e-05,5.6093910258034907e-11,-1.166346280744451e-05
2.04e-05,4.71605057118981e-11,-1.2849634691692703e-05
2.12e-05,3.747593501514101e-11,-1.3737211192282228e-05
2.2e-05,2.7239953610451876e-11,-1.437355531139015e-05
2.24e-05,1.6619907604631066e-11,-1.4799277300811979e-05
2.32e-05,5.757688948597775e-12,-1.5043201613733297e-05
2.4e-05,-5.22072716056208e-12,-1.5120027561858475e-05
2.48e-05,-1.619458429514294e-11,-1.5029291396742122e-05
2.56e-05,-2.7037109209895956e-11,-1.475485463722151e-05
2.6e-05,-3.7604054840405414e-11,-1.4264859934897619e-05
2.68e-05,-4.772257613164279e-11,-1.351288192580894e-05
2.76e-05,-5.718183044509758e-11,-1.2441850917629296e-05
2.84e-05,-6.572811224315274e-11,-1.0992995947281542e-05
2.91999999999e-05,-7.306895528325114e-11,-9.12176790609346e-06
3e-05,-7.889131769402611e-11,-6.820176120093529e-06
3.04e-05,-8.289671843343538e-11,-4.139493552873852e-06
3.12e-05,-8.48494595341098e-11,-1.2012012469873547e-06
3.2e-05,-8.462460793695317e-11,1.816078055090943e-06
3.28e-05,-8.22369023439482e-11,4.71469315159266e-06
3.36e-05,-7.783721908366208e-11,7.325313866969601e-06
3.4e-05,-7.167830285436236e-11,9.54068756875449e-06
3.48e-05,-6.406525207759258e-11,1.1323170079222182e-05
3.56e-05,-5.530919958235326e-11,1.2690225131094084e-05
3.64e-05,-4.5695621463485046e-11,1.3690970474041878e-05
3.72e-05,-3.546940566060157e-11,1.4384880097869355e-05
3.8e-05,-2.4833009837057713e-11,1.4827371636074429e-05
3.84e-05,-1.3952567124656532e-11,1.5062084530937e-05
3.92e-05,-2.967814341081601e-12,1.5117692604930847e-05
4e-05,7.996638866282992e-12,1.500709860075265e-05
4.08e-05,1.881986946474657e-11,1.4727606345144422e-05
4.16e-05,2.937348748914765e-11,1.4261511202349607e-05
4.2e-05,3.951110576422417e-11,1.3577319093150027e-05
4.28e-05,4.905918175650675e-11,1.2632507845902798e-05
4.36e-05,5.78108680082445e-11,1.1379319144156724e-05
4.44e-05,6.552567341908154e-11,9.775170645874915e-06
4.52e-05,7.193859788571619e-11,7.798195657146401e-06
4.6e-05,7.678181449001398e-11,5.46545118433405e-06
4.64e-05,7.981862922843627e-11,2.8469973583236377e-06
4.72e-05,8.08833030889303e-11,6.642085489293762e-08
4.8e-05,7.991428904579855e-11,-2.718053242294748e-06
4.88e-05,7.696767941144379e-11,-5.3473294681679075e-06
4.96e-05,7.220492625546573e-11,-7.695604450471343e-06
5e-05,6.586026929463027e-11,-9.690157348742722e-06
5.08e-05,5.8200910330988036e-11,-1.131167289542883e-05
5.16e-05,4.949257676146746e-11,-1.2580588470756802e-05
5.24e-05,3.9977213514448006e-11,-1.3538893813301045e-05
5.32e-05,2.986331050578676e-11,-1.4234378439478022e-05
5.4e-05,1.9325879174454707e-11,-1.4709973167738273e-05
5.44e-05,8.512399757881411e-12,-1.4997772964029921e-05
5.52e-05,-2.44811730792978e-12,-1.5116169305074997e-05
5.6e-05,-1.3434643821615227e-11,-1.5068584099960169e-05
5.68e-05,-2.432300089715271e-11,-1.4842860009274149e-05
5.76e-05,-3.4974424777259226e-11,-1.4411062283544246e-05
5.8e-05,-4.5224271228903814e-11,-1.3730213196761137e-05
5.88e-05,-5.487198045188695e-11,-1.2745322940970492e-05
5.96e-05,-6.367471049414546e-11,-1.1396843301925412e-05
6.04e-05,-7.134868985566564e-11,-9.63473344065224e-06
6.12e-05,-7.758342131933917e-11,-7.439488808480616e-06
6.2e-05,-8.20725649489148e-11,-4.845697653707644e-06
6.24e-05,-8.455974613356848e-11,-1.9572789515551842e-06
6.32e-05,-8.488830757723821e-11,1.0587963669594347e-06
6.4e-05,-8.303672040489825e-11,4.005172424432884e-06
6.48e-05,-7.912374373547254e-11,6.70131139428153e-06
6.56e-05,-7.338084386413954e-11,9.022517379235482e-06
6.6e-05,-6.61046838356768e-11,1.0914295092355002e-05
6.68e-05,-5.76085403548412e-11,1.2382306723995294e-05
6.76e-05,-4.818639091096242e-11,1.3469912997063203e-05
6.84e-05,-3.809395721801094e-11,1.4235630134169748e-05
6.92e-05,-2.754404962447332e-11,1.4736858731437412e-05
7e-05,-1.6711119926098372e-11,1.5020645840057627e-05
7.04e-05,-5.740522928943043e-12,1.5119577755466782e-05
7.12e-05,5.240400460944753e-12,1.5050540295500875e-05
7.2e-05,1.611086529089974e-11,1.4814729367078572e-05
7.28e-05,2.6745389686407964e-11,1.439814507652499e-05
7.36e-05,3.700306182408327e-11,1.377259273409385e-05
7.4e-05,4.6717923641193735e-11,1.2897933451931243e-05
7.48e-05,5.5691845472625e-11,1.1726952313825712e-05
7.56e-05,6.369239650389446e-11,1.0214486457714724e-05
7.64e-05,7.045923909577154e-11,8.331751854851391e-06
7.72e-05,7.572248475058896e-11,6.084343898460585e-06
7.8e-05,7.923388801981664e-11,3.528217498044835e-06
7.84e-05,8.08061756713925e-11,7.744605383358746e-07
7.92e-05,8.034929635976443e-11,-2.024643258606864e-06
8e-05,7.788983009372241e-11,-4.7067157287813155e-06
8.08e-05,7.356512671593386e-11,-7.134943055001223e-06
8.16e-05,6.759479015231897e-11,-9.222452146035276e-06
8.2e-05,6.024134045985875e-11,-1.0937358933705134e-05
8.28e-05,5.1773507087401624e-11,-1.2291767707665617e-05
8.36e-05,4.24406051909726e-11,-1.3323892869613139e-05
8.44e-05,3.245987686773468e-11,-1.4081276164597883e-05
8.52e-05,2.2014391363123728e-11,-1.4608797515726286e-05
8.6e-05,1.1257801511285801e-11,-1.4941647830989867e-05
8.64e-05,3.228233690497258e-13,-1.5101834999202756e-05
8.72e-05,-1.066853386597359e-11,-1.5096629070560799e-05
8.8e-05,-2.1593956851106594e-11,-1.491783872844024e-05
8.88e-05,-3.231944178221563e-11,-1.4541491749303077e-05
8.96e-05,-4.268789554593447e-11,-1.3928239826754238e-05
9e-05,-5.2508616025766686e-11,-1.3025634879233954e-05
9.08e-05,-6.154968388963532e-11,-1.1774241887977604e-05
9.16e-05,-6.953690347080998e-11,-1.0119885748802279e-05
9.24e-05,-7.616429153905921e-11,-8.03310199084895e-06
9.32e-05,-8.112061720225305e-11,-5.532836480043917e-06
9.4e-05,-8.413209033145541e-11,-2.7050782802128574e-06
9.44e-05,-8.501266848869135e-11,2.96993432913983e-07
9.52e-05,-8.370489712865259e-11,3.27944573174515e-06
9.6e-05,-8.029359363960869e-11,6.053104178409318e-06
9.68e-05,-7.498582315924526e-11,8.476736568966132e-06
9.76e-05,-6.806665342400616e-11,1.047828962075159e-05
9.8e-05,-5.98492026022262e-11,1.2050130663614826e-05
9.88e-05,-5.0634760750766144e-11,1.322839934277719e-05
9.96e-05,-4.0689614597033014e-11,1.4069618024153547e-05
0.0001004,-3.0237239532074494e-11,1.4632593867566519e-05
0.0001012,-1.9461009016871555e-11,1.4967532198692314e-05
0.000102,-8.512607306625503e-12,1.5110861058700592e-05
0.0001024,2.477162426726024e-12,1.5083453752376504e-05
0.0001032,1.3386936614653163e-11,1.4890429523836893e-05
0.000104,2.4093456406951186e-11,1.4521553146577977e-05
0.0001048,3.446066734735307e-11,1.3952065447079118e-05
0.0001056,4.4329730359536486e-11,1.3144511598786789e-05
0.000106,5.3511079995768824e-11,1.2052794599768188e-05
0.0001068,6.178073356616095e-11,1.0630088190306301e-05
0.0001076,6.888417640431903e-11,8.841863905493609e-06
0.0001084,7.455146416076278e-11,6.683320713505947e-06
0.0001092,7.852535887040847e-11,4.1966548154638506e-06
0.00011,8.059943209674338e-11,1.4795634840550293e-06
0.0001104,8.065640856388094e-11,-1.323656937575704e-06
0.0001112,7.869296886382599e-11,-4.049700103810678e-06
0.000112,7.482048296346671e-11,-6.552333996408829e-06
0.0001128,6.924134625467917e-11,-8.730833414962445e-06
0.0001136,6.22110204021165e-11,-1.053999525844139e-05
0.000114,5.399960022928509e-11,-1.198241254081972e-05
0.0001148,4.486298031537772e-11,-1.3091439713923115e-05
0.0001155999999999,3.5027041006578004e-11,-1.391360904586276e-05
0.0001164,2.4683227642203793e-11,-1.4495310787683597e-05
0.0001172,1.3991914447051995e-11,-1.4874617920071419e-05
0.000118,3.090178046773967e-12,-1.5077061471458935e-05
0.0001184,-7.898289582116442e-12,-1.5113715778344682e-05
0.0001192,-1.8852315238822824e-11,-1.4980333700666255e-05
0.00012,-2.9641926293162096e-11,-1.4656925623395926e-05
0.0001208,-4.0116902157535256e-11,-1.4107907399281033e-05
0.0001216,-5.009589654845049e-11,-1.3283748975527175e-05
0.000122,-5.935781948455818e-11,-1.2125899938099093e-05
0.0001228,-6.763869299590582e-11,-1.0577300288731793e-05
0.0001236,-7.463873153438246e-11,-8.600079753878661e-06
0.0001244,-8.004456931675717e-11,-6.1987999039601195e-06
0.0001252,-8.356828970379241e-11,-3.4415778839113885e-06
0.000126,-8.499715866602923e-11,-4.6608231466958476e-07
0.0001264,-8.423870246725755e-11,2.540189229350158e-06
0.0001272,-8.134247093727912e-11,5.382279559154922e-06
0.000128,-7.648821400806902e-11,7.903788666702791e-06
0.0001288,-6.994614537645378e-11,1.0014743670360042e-05
0.0001296,-6.202665758736243e-11,1.1692833263052429e-05
0.00013,-5.303688972943837e-11,1.2965448875787813e-05
0.0001308,-4.325322354815553e-11,1.3885960965672281e-05
0.0001316,-3.290999649097712e-11,1.4513900288430636e-05
0.0001324,-2.220005492672992e-11,1.4902313641603604e-05
0.0001332,-1.1282108123075196e-11,1.5091366985491375e-05
0.000134,-2.911522611575227e-13,1.5105913244276693e-05
0.0001344,1.0650148507863006e-11,1.4955021185933347e-05
0.0001352,2.1420063256505867e-11,1.4632270216427614e-05
0.000136,3.188675442232547e-11,1.4116446711139554e-05
0.0001368,4.1897986116172095e-11,1.3373029055716572e-05
0.0001376,5.127250547500763e-11,1.2357533995638635e-05
0.000138,5.97950054919948e-11,1.1022302255532662e-05
0.0001388,6.721774347351482e-11,9.32819132239129e-06
0.0001396,7.32725218380958e-11,7.261147106744894e-06
0.0001404,7.769558264376363e-11,4.850196294513891e-06
0.0001412,8.026385398601606e-11,2.179089503251707e-06
0.000142,8.083447129262602e-11,-6.176730971328948e-07
0.0001424,7.937426418697848e-11,-3.3782403405412345e-06
0.0001432,7.59670628184661e-11,-5.948827722721549e-06
0.000144,7.079556641672508e-11,-8.215488087145638e-06
0.0001448,6.410568278179126e-11,-1.0119160529082553e-05
0.0001456,5.6167023291801705e-11,-1.1651797396201436e-05
0.000146,4.724106676907358e-11,-1.284075165144617e-05
0.0001468,3.756207009939654e-11,-1.3730696242364191e-05
0.0001476,2.733008584955837e-11,-1.4369018968241551e-05
0.0001484,1.6712715087381744e-11,-1.479641490568131e-05
0.0001492,5.852030900465851e-12,-1.5041822866984768e-05
0.00015,-5.125898925174638e-12,-1.5120069527270118e-05
0.0001504,-1.6100320451829624e-11,-1.5030824585523455e-05
0.0001512,-2.6944561222306136e-11,-1.4758085874972714e-05
0.000152,-3.751457355378156e-11,-1.427012928075583e-05
0.0001528,-4.763780319826934e-11,-1.3520643764042656e-05
0.0001536,-5.7103765244930064e-11,-1.245262212899891e-05
0.000154,-6.565912288353036e-11,-1.1007250803552356e-05
0.0001548,-7.301168993306303e-11,-9.139769396751629e-06
0.0001556,-7.884847595224011e-11,-6.8417681640915215e-06
0.0001564,-8.28706801659005e-11,-4.163935077079769e-06
0.0001572,-8.484184456412854e-11,-1.2271614924908428e-06
0.000158,-8.463591694582955e-11,1.7902888162332177e-06
0.0001584,-8.226639627279203e-11,4.690722687980123e-06
0.0001592,-7.788309556263637e-11,7.304387880259433e-06
0.00016,-7.173808495625564e-11,9.523425213894502e-06
0.0001608,-6.41362250229962e-11,1.1309629174430654e-05
0.0001616,-5.5388756933917363e-11,1.268008529466888e-05
0.000162,-4.578146429152017e-11,1.3683737721829816e-05
0.0001628,-3.555960798505432e-11,1.4380043467902039e-05
0.0001636,-2.4925993479402352e-11,1.4824496420408489e-05
0.0001644,-1.404702797577185e-11,1.506085602613119e-05
0.0001652,-3.062628547444596e-12,1.511793077601539e-05
0.000166,7.902513809629415e-12,1.5008759451420514e-05
0.0001664,1.8727492556727775e-11,1.4730778414828851e-05
0.0001672,2.928402837289023e-11,1.4266408609689606e-05
0.000168,3.942593125823538e-11,1.3584266218497648e-05
0.0001688,4.8979925127228195e-11,1.264190499248922e-05
0.0001696,5.773946202206388e-11,1.1391574817341923e-05
0.00017,6.546431823324808e-11,9.790589046421113e-06
0.0001708,7.188963160276452e-11,7.816824763838003e-06
0.0001716,7.674746951752664e-11,5.486930572333434e-06
0.0001724,7.98007001002218e-11,2.8704814157298636e-06
0.0001732,8.088281052383836e-11,9.065486990044961e-08
0.000174,7.993126194748063e-11,-2.694491254375778e-06
0.0001744,7.700114841387163e-11,-5.325711241998573e-06
0.0001752,7.225313173927637e-11,-7.676802136951825e-06
0.000176,6.592099403555691e-11,-9.674557590151005e-06
0.0001768,5.827181466303895e-11,-1.1299246830272531e-05
0.0001776,4.9571448364374946e-11,-1.2571041955922755e-05
0.000178,4.006210306408629e-11,-1.3531820766603889e-05
0.0001788,2.995256840927493e-11,-1.4229375932447607e-05
