case,model,order,version,n,time_sec
1,2,2,1,20,3.0982333379797637
1,2,2,1,30,0.034433410968631506
1,2,2,1,40,0.046207101084291935
1,2,2,1,50,0.05748193617910147
1,2,2,1,60,0.06941894488409162
1,2,2,1,70,0.08020731713622808
1,2,2,1,80,0.09153102105483413
1,2,2,1,90,0.10339278494939208
1,2,2,1,100,0.11490134941413999
1,2,2,1,110,0.12675177166238427
1,2,2,1,120,0.13728863699361682
1,2,2,1,130,0.14815301960334182
1,2,2,1,140,0.16066393116489053
1,2,2,1,150,0.17176718404516578
1,2,2,1,160,0.18395444378256798
1,2,2,1,170,0.1946759377606213
1,2,2,1,180,0.2061119619756937
1,2,2,1,190,0.21703463699668646
1,2,2,1,200,0.22957651130855083
1,2,2,1,210,0.24060362810268998
1,2,2,1,220,0.25259988009929657
1,2,2,1,230,0.2637793938629329
1,2,2,1,240,0.2742298888042569
1,2,2,1,250,0.2866172669455409
1,2,2,1,260,0.29937182320281863
1,2,2,1,270,0.3100333269685507
1,2,2,1,280,0.3209147248417139
1,2,2,1,290,0.3324506292119622
1,2,2,1,300,0.34056985937058926
1,2,2,1,310,0.3530668490566313
1,2,2,1,320,0.36548931105062366
1,2,2,1,330,0.37665437720716
1,2,2,1,340,0.3878404702991247
1,2,2,1,350,0.39923061477020383
1,2,2,1,360,0.40992168383672833
1,2,2,1,370,0.42229969101026654
1,2,2,1,380,0.43345809495076537
1,2,2,1,390,0.4434074107557535
1,2,2,1,400,0.4551000497303903
1,2,2,1,410,0.4670064621604979
1,2,2,1,420,0.4771597399376333
1,2,2,1,430,0.48932731710374355
1,2,2,1,440,0.501538182143122
1,2,2,1,450,0.5123060988262296
1,2,2,1,460,0.5242634392343462
1,2,2,1,470,0.5342401028610766
1,2,2,1,480,0.5443296381272376
1,2,2,1,490,0.5550071489997208
1,2,2,1,500,0.5703664501197636
1,2,2,1,510,0.5795581829734147
1,2,2,1,520,0.5928602642379701
1,2,2,1,530,0.603611241094768
1,2,2,1,540,0.6145094293169677
1,2,2,1,550,0.6258914829231799
1,2,2,1,560,0.6385100176557899
1,2,2,1,570,0.6500393198803067
1,2,2,1,580,0.6589685389772058
1,2,2,1,590,0.6723764170892537
1,2,2,2,20,0.022801275830715895
1,2,2,2,30,0.0343812657520175
1,2,2,2,40,0.0458544441498816
1,2,2,2,50,0.057430803775787354
1,2,2,2,60,0.06846538139507174
1,2,2,2,70,0.08005631295964122
1,2,2,2,80,0.09249278903007507
1,2,2,2,90,0.10288139106705785
1,2,2,2,100,0.11364517081528902
1,2,2,2,110,0.12534866016358137
1,2,2,2,120,0.13667703000828624
1,2,2,2,130,0.14819612819701433
1,2,2,2,140,0.15994424000382423
1,2,2,2,150,0.1714049419388175
1,2,2,2,160,0.18324117315933108
1,2,2,2,170,0.19363828608766198
1,2,2,2,180,0.20538991875946522
